Location,Class
MAJERHAAT,Unclassified
MAJHAULI,Unclassified
MALAD,Unclassified
MALANPUR,Unclassified
MALAPPURAM,Unclassified
MALDA,Unclassified
MALIHABAD,Unclassified
MALLEPALLY,Unclassified
MALWA,Unclassified
MAMALLAPURAM,Unclassified
MAMUARA,Unclassified
MANALI,Unclassified
MANDAL,Unclassified
MANDAVGAN,Unclassified
MANDHAR,Unclassified
MANDI,Unclassified
MANDIDEEP,Unclassified
MANDLA,Unclassified
MANDONI,Unclassified
MANDSAUR,Unclassified
MANDVI,Unclassified
MANDYA,Unclassified
MANEJA,Unclassified
MANERI,Unclassified
MANESAR,Unclassified
MANGALURU,Unclassified
MANIKDAUNDI,Unclassified
MANINAGAR,Unclassified
MANIPUR (2 DIST.S,Unclassified
MAPUSA,Unclassified
MARATHWADA,Unclassified
MARCEL,Unclassified
MARGAO,Unclassified
MARIANI,Unclassified
MARWAHI,Unclassified
MASAR,Unclassified
MATA NO MADH,Unclassified
MATHURA,Unclassified
MATTATHUR,Unclassified
MAYURBHANJ,Unclassified
MEDAK,Unclassified
MEDCHAL,Unclassified
MEDINIPUR,Unclassified
MEERUT,Unclassified
MEGHALAYA (6 DIST.S,Unclassified
MEHSANA,Unclassified
MELAIYUR,Unclassified
MELATTUR,Unclassified
MELGHAT,Unclassified
MENAKURU,Unclassified
METTUPALAYAM,Unclassified
MEWAT,Unclassified
MHOW,Unclassified
MIDNAPORE,Unclassified
MINJUR,Unclassified
MIRAJ,Unclassified
MIRZAPUR,Unclassified
MIYAPUR MANDAL,Unclassified
MIZORAM (1 DIST.,Unclassified
MODASA,Unclassified
MOGA,Unclassified
MOGALIPURAM,Unclassified
MOHADI,Unclassified
MOHALI,Unclassified
MOHOL,Unclassified
MOKHADA,Unclassified
MOLARBAND,Unclassified
MON,Unclassified
MORADABAD,Unclassified
MORBI,Unclassified
MORENA,Unclassified
MORIGAON,Unclassified
MORMUGAO,Unclassified
MOUNT ABU,Unclassified
MUDIPU,Unclassified
MUDIS,Unclassified
MUKTSAR,Unclassified
MULSHI,Unclassified
MULUND,Unclassified
MUMBAI,Unclassified
MUNDI,Unclassified
MUNDRA,Unclassified
MUNGELI,Unclassified
MUNGER,Unclassified
MUNINDA,Unclassified
MUNNALURU,Unclassified
MUNNAR,Unclassified
MUNNURPET,Unclassified
MURBAD,Unclassified
MURSHIDABAD,Unclassified
MUSSOORIE,Unclassified
MUTHI,Unclassified
MUZAFFARNAGAR,Unclassified
MUZAFFARPUR,Unclassified
MYLAPORE,Unclassified
MYSURU,Unclassified
NABHA,Unclassified
NABRANGPUR,Unclassified
NADIA,Unclassified
NADIAD,Unclassified
NAGAON,Unclassified
NAGAPATTINAM,Unclassified
NAGARDHAN,Unclassified
NAGAUR,Unclassified
NAGDA,Unclassified
NAGERCOIL,Unclassified
NAGPUR,Unclassified
NAGPUR DIST.,Unclassified
NAIDUPETA MANDAL,Unclassified
NAIGAON,Unclassified
NAINI,Unclassified
NAINITAL,Unclassified
NALAGARH,Unclassified
NALANDA,Unclassified
NALBARI,Unclassified
NALGONDA,Unclassified
NALLANUR,Unclassified
NAMAKKAL,Unclassified
