Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),Resolved_State,Resolved_Location,Location_Class
20MICRONS,20 MICRONS LTD.,HEALTH CARE AND MEDICAL FACILITIES,,SCHEDULE VII (I),5.1,5.1,20 MICRONS FOUNDATION TRUST,2.55,,2.55,GUJARAT,VADODARA,City
3MINDIA,3M INDIA LTD.,ASH INITIATIVE TO BUILD SANITATION FACILITIES IN THREE (3) GOVERNMENT SCHOOLS,,SCHEDULE VII (I),108.0,42.5,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.5,MAHARASHTRA,PUNE,City
3MINDIA,3M INDIA LTD.,ASH INITIATIVE TO BUILD SANITATION FACILITIES IN THREE (3) GOVERNMENT SCHOOLS,,SCHEDULE VII (I),108.0,42.5,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",42.5,MAHARASHTRA,RANJANGAON,Village
3MINDIA,3M INDIA LTD.,EDUCATION,,SCHEDULE VII (II),108.0,198.67,CHRISTEL HOUSE,99.335,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",99.335,KARNATAKA,ANEKAL,City
3MINDIA,3M INDIA LTD.,EDUCATION,,SCHEDULE VII (II),108.0,198.67,CHRISTEL HOUSE,99.335,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",99.335,KARNATAKA,BENGALURU,City
3MINDIA,3M INDIA LTD.,EDUCATION,,SCHEDULE VII (II),108.0,198.67,CHRISTEL HOUSE,99.335,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",99.335,MAHARASHTRA,PUNE,City
3MINDIA,3M INDIA LTD.,EDUCATION,,SCHEDULE VII (II),108.0,198.67,CHRISTEL HOUSE,99.335,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",99.335,MAHARASHTRA,RANJANGAON,Village
3MINDIA,3M INDIA LTD.,EDUCATION,,SCHEDULE VII (II),108.0,198.67,CHRISTEL HOUSE,99.335,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",99.335,WEST BENGAL,KOLKATA,City
3MINDIA,3M INDIA LTD.,SOCIAL INNOVATION,,SCHEDULE VII (IX),36.0,19.41,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",19.41,ALL STATES,ALL STATES,State
3MINDIA,3M INDIA LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),72.0,86.0,,,"UNITED WAY OF BENGALURU, GOVT.OF TAMIL NADU",86.0,KARNATAKA,BENGALURU,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,"CONSTRUCTION AND EXTENTION OF WASH AREA OF ORPHANAGE, PROMOTION OF HEALTH & SANITATION",,SCHEDULE VII (I),1.96,1.96,,,VANVASI KALYAN ASHRAM,1.96,MAHARASHTRA,VIKRAMGAD,Village
63MOONS,63 MOONS TECHNOLOGIES LTD.,THIRD PARTY ASSESSMENT FOR THE STUDENTS OF SKILL DEVELOPMENT & ENTREPRENEURSHIP SKILLS PROGRAM,,SCHEDULE VII (II),11.55,11.55,,,C.K.SKILLS RESEARCH & DEVELOPMENT,11.55,GUJARAT,AHMEDABAD,City
63MOONS,63 MOONS TECHNOLOGIES LTD.,"WOMEN EMPOWERMENT PROGRAM THROUGH LIVELIHOOD SUPPORT AND SKILLS DEVELOPMENT OF WOMEN FROM SLUM COMMUNITY, RESCUED VICTIMS SHELTER HOMES",,"SCHEDULE VII (II), SCHEDULE VII (III)",2.04,2.04,,,SRUJNA CHARITABLE TRUST,2.04,MAHARASHTRA,MUMBAI,City
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,GUJARAT,VATRAK,Town
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,AMRAVATI,District
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,BAHADOLI,Town
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,BOISAR,Town
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,MAAN,Village
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,MUMBAI,City
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,NASHIK,City
