Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),Resolved_State,Resolved_Location,Location_Class
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,MAHARASHTRA,PALGHAR,District
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT HEALTH ENVIRONMENT SOCIAL WELFARE PROMOTION OF SPORTS AND ALLIED TRAININGS RURAL DEVELOPMENT,,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (IV), SCHEDULE VII (VII), SCHEDULE VII (X)",185.11,185.07,AARTI FOUNDATION,92.535,"SUDHA PRATISHTHAN,SHREE SIDDHIVINAYAK SEVABHAVI SANSTHAN,INSTITUTE OF CHEMICAL TECHNOLOGY",92.535,SIKKIM,SIKKIM,State
AARTIIND,AARTI INDUSTRIES LTD.,COMMUNITY TOWNSHIP AND LIVELIHOOD OPPORTUNITIES ERADICATING POVERTY AND HUNGER,,SCHEDULE VII (I),21.0,21.0,,10.5,,10.5,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,COMMUNITY TOWNSHIP AND LIVELIHOOD OPPORTUNITIES ERADICATING POVERTY AND HUNGER,,SCHEDULE VII (I),21.0,21.0,,10.5,,10.5,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION, VOCATIONAL TRAINING & SKILL DEVELOPMENT",,SCHEDULE VII (II),255.0,255.0,,127.5,,127.5,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION, VOCATIONAL TRAINING & SKILL DEVELOPMENT",,SCHEDULE VII (II),255.0,255.0,,127.5,,127.5,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION, VOCATIONAL TRAINING & SKILL DEVELOPMENT",,SCHEDULE VII (II),255.0,255.0,,127.5,,127.5,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION, VOCATIONAL TRAINING & SKILL DEVELOPMENT",,SCHEDULE VII (II),255.0,255.0,,127.5,,127.5,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION, VOCATIONAL TRAINING & SKILL DEVELOPMENT",,SCHEDULE VII (II),255.0,255.0,,127.5,,127.5,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,GREEN ENVIRONMENT PROJECT,,SCHEDULE VII (IV),24.0,24.0,,12.0,,12.0,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,GREEN ENVIRONMENT PROJECT,,SCHEDULE VII (IV),24.0,24.0,,12.0,,12.0,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,GREEN ENVIRONMENT PROJECT,,SCHEDULE VII (IV),24.0,24.0,,12.0,,12.0,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,GREEN ENVIRONMENT PROJECT,,SCHEDULE VII (IV),24.0,24.0,,12.0,,12.0,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,GREEN ENVIRONMENT PROJECT,,SCHEDULE VII (IV),24.0,24.0,,12.0,,12.0,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,"HEALTHCARE FACILITIES, GRANTS & INSTITUTIONS",,SCHEDULE VII (I),257.0,257.0,,128.5,,128.5,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,"HEALTHCARE FACILITIES, GRANTS & INSTITUTIONS",,SCHEDULE VII (I),257.0,257.0,,128.5,,128.5,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,"HEALTHCARE FACILITIES, GRANTS & INSTITUTIONS",,SCHEDULE VII (I),257.0,257.0,,128.5,,128.5,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,"HEALTHCARE FACILITIES, GRANTS & INSTITUTIONS",,SCHEDULE VII (I),257.0,257.0,,128.5,,128.5,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,"HEALTHCARE FACILITIES, GRANTS & INSTITUTIONS",,SCHEDULE VII (I),257.0,257.0,,128.5,,128.5,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,HYGINE AND SANITATION,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,HYGINE AND SANITATION,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,HYGINE AND SANITATION,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,HYGINE AND SANITATION,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,HYGINE AND SANITATION,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,OTHERS,,OTHERS,15.0,15.0,,7.5,,7.5,ALL STATES,ALL STATES,State
AARTIIND,AARTI INDUSTRIES LTD.,RELIEF & REHABILITATION REHABILITATION OF DISASTER AFFECTED AREA,,SCHEDULE VII (VIII),87.0,87.0,,43.5,,43.5,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,WATER CONSERVATION,,SCHEDULE VII (IV),31.0,31.0,,15.5,,15.5,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,WATER CONSERVATION,,SCHEDULE VII (IV),31.0,31.0,,15.5,,15.5,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,WATER CONSERVATION,,SCHEDULE VII (IV),31.0,31.0,,15.5,,15.5,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,WATER CONSERVATION,,SCHEDULE VII (IV),31.0,31.0,,15.5,,15.5,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,WATER CONSERVATION,,SCHEDULE VII (IV),31.0,31.0,,15.5,,15.5,MAHARASHTRA,MAHARASHTRA,State
AARTIIND,AARTI INDUSTRIES LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),7.0,7.0,,3.5,,3.5,BIHAR,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),7.0,7.0,,3.5,,3.5,DADRA & NAGAR HAVELI AND DAMAN & DIU,SILVASSA,City
AARTIIND,AARTI INDUSTRIES LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),7.0,7.0,,3.5,,3.5,GUJARAT,GUJARAT,State
AARTIIND,AARTI INDUSTRIES LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),7.0,7.0,,3.5,,3.5,MADHYA PRADESH,MADHYA PRADESH,State
AARTIIND,AARTI INDUSTRIES LTD.,WOMEN EMPOWERMENT,,SCHEDULE VII (III),7.0,7.0,,3.5,,3.5,MAHARASHTRA,MAHARASHTRA,State
ABB,ABB INDIA LTD.,CONTRIBUTING TO A MULTIPURPOSE VEHICLE FOR A DESTITUTE HOME DIFFERENTLY ABLED,,SCHEDULE VII (I),,4.74,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,"DEVELOPMENT OF A SOLAR ENERGY BASED VILLAGE MICRO GRIDE (VMG) FOR RURAL ELECTRIFICATION, FOR AFFORDABLE AND CONTINUOUS POWER AVAILABILITY IN A RURAL AREA.",,SCHEDULE VII (X),,22.5,,,,,JHARKHAND,RANCHI,City
ABB,ABB INDIA LTD.,ENVIRONMENTAL SUSTAINABILITY,,SCHEDULE VII (IV),,0.63,,,,,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,ERADICATING HUNGER AND PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,74.62,,,,,GUJARAT,VADODARA,City
ABB,ABB INDIA LTD.,ERADICATING HUNGER AND PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,74.62,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,IMPROVING ENERGY EFFICIENCY - REPLACEMENT WITH ENERGY EFFICIENCY LIGHTS AT A NGO SUPPORTING DESTITUTE AND ORPHANS DIFFERENTLY ABLED,,SCHEDULE VII (III),,2.58,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,NEEDS ASSESSMENT FOR RURAL DEVELOPMENT,,SCHEDULE VII (X),,3.23,,,,,KARNATAKA,MYSURU,City
ABB,ABB INDIA LTD.,NEEDS ASSESSMENT FOR RURAL DEVELOPMENT,,SCHEDULE VII (X),,3.23,,,,,KARNATAKA,NELAMANGALA,City
ABB,ABB INDIA LTD.,NEEDS ASSESSMENT FOR RURAL DEVELOPMENT,,SCHEDULE VII (X),,0.95,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,3.38,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,17.25,,,,,KARNATAKA,KARNATAKA,State
ABB,ABB INDIA LTD.,PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,17.25,,,,,MAHARASHTRA,MAHARASHTRA,State
ABB,ABB INDIA LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),,6.4,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,PROMOTING EDUCATION,,SCHEDULE VII (II),,18.75,,,,,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,PROMOTING EDUCATION AND RURAL DEVELOPMENT,,"SCHEDULE VII (II), SCHEDULE VII (X)",,9.21,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,PROMOTING EDUCATION FOR DIFFERENTLY ABLED,,SCHEDULE VII (II),,19.45,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,"PROMOTING EDUCATION, VOCATIONAL SKILLS AND RURAL DEVELOPMENT",,"SCHEDULE VII (II), SCHEDULE VII (X)",,27.0,,,,,GUJARAT,PATAN,District
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,GUJARAT,AHMEDABAD,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,GUJARAT,SURAT,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,KARNATAKA,COORG,District
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,KARNATAKA,MANGALURU,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,KARNATAKA,MYSURU,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,MAHARASHTRA,MUMBAI,City
ABB,ABB INDIA LTD.,PROMOTING HEALTH CARE REDUCING CHILD MORTALITY AND IMPROVING HEALTH,,SCHEDULE VII (I),,10.13,,,,,MAHARASHTRA,PUNE,City
ABB,ABB INDIA LTD.,RESEARCH AND DEVELOPMENT FOR SUSTAINABLE DEVELOPMENT,,SCHEDULE VII (IV),,32.17,,,,,ALL STATES,ALL STATES,State
ABB,ABB INDIA LTD.,RURAL DEVELOPMENT,,SCHEDULE VII (X),,262.5,,,,,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,RURAL DEVELOPMENT,,SCHEDULE VII (X),,16.57,,,,,RAJASTHAN,BARMER,District
ABB,ABB INDIA LTD.,RURAL DEVELOPMENT,,SCHEDULE VII (X),,23.25,,,,,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,"DEVELOPMENT OF A SOLAR ENERGY BASED VILLAGE MICRO GRID (VMG) FOR RURAL ELECTRIFICATION, FOR AFFORDABLE AND CONTINUOUS POWER AVAILABILITY IN RURAL AREAS",ACCESS TO ELECTRICITY,SCHEDULE VII (X),,14.35,,,"INDIAN INSTITUTE OF TECHNOLOGY, MADRAS",14.3513,ALL STATES,ALL STATES,State
ABB,ABB INDIA LTD.,"R&D COOPERATION THROUGH JOINT STUDIES, PROJECTS AND DEMO/PILOT TRIALS IN THE AREA OF RENEWABLE ENERGY STORAGE AND BATTERY ENGINEERING.",ACCESS TO ELECTRICITY,SCHEDULE VII (X),,10.72,,,"INDIAN INSTITUTE OF TECHNOLOGY, MADRAS",10.725,ALL STATES,ALL STATES,State
ABB,ABB INDIA LTD.,CONTRIBUTION TOWARDS RUNNING A SPECIAL SCHOOL TO MAINSTREAM ~190 CHILDREN WITH DISABILITY,DIFFERENTLY ABLED,SCHEDULE VII (II),,10.81,,,"ASSOCIATION OF PEOPLE WITH DISABILITY,THE",10.8108,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,RESIDENTIAL FACILITY FOR DIFFERENTLY ABLED WOMEN,DIFFERENTLY ABLED,SCHEDULE VII (III),,7.5,,,GHARKUL PARIVAR SANSTHA,7.5,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,RUNNING A MOBILE PHYSIOTHERAPY VAN FOR DIFFERENTLY ABLED,DIFFERENTLY ABLED,SCHEDULE VII (I),,0.87,,,SOCIETY FOR THE TRAINING & VOCATIONAL REHABILITATION OF THE DISABLED,0.868,GUJARAT,MANEJA,Town
ABB,ABB INDIA LTD.,EMERGENCY RELIEF FOR FLOOD DISASTER VICTIMS,NATURAL DISASTER RELIEF,SCHEDULE VII (VIII),,4.0,,,VIPLA FOUNDATION,4.0,ALL STATES,ALL STATES,State
ABB,ABB INDIA LTD.,CONTRIBUTIONS TOWARDS ESTABLISHING A SIMULATION CENTRE OF EXCELLENCE (SCOE) TO CATER TO VARIOUS R&D ACTIVITIES RELATED TO ELECTRICAL EQUIPMENT AND OTHER DEVICES USED IN INDUSTRIAL AUTOMATION AND POWER SECTORS,PROMOTING EDUCATION,SCHEDULE VII (II),,22.5,NATIONAL INSTITUTE OF TECHNICAL TEACHERS TRAINING & RESEARCH,22.5,,,CHANDIGARH,CHANDIGARH,State
ABB,ABB INDIA LTD.,IMPROVING THE QUALITY OF EDUCATION FOR AROUND 100 PRIMARY AND MIDDLE SCHOOLS,PROMOTING EDUCATION,SCHEDULE VII (II),,7.84,,,SIVA SRI CHARITABLE TRUST,7.83975,KARNATAKA,NELAMANGALA,City
ABB,ABB INDIA LTD.,INFRASTRUCTURE SUPPORT FOR A GOVT SCHOOL,PROMOTING EDUCATION,SCHEDULE VII (II),,0.23,ABB REGISTERED VENDORS,0.2255,,,GUJARAT,MANEJA,Town
ABB,ABB INDIA LTD.,PROVIDING AND RUNNING MOBILE SCIENCE LABS FOR STUDENTS FROM ~98 SELECT GOVT SCHOOLS ACROSS SEVERAL LOCATIONS,PROMOTING EDUCATION,SCHEDULE VII (II),,10.09,,,AGASTYA INTERNATIONAL FOUNDATION,10.0943,GUJARAT,VADODARA,City
ABB,ABB INDIA LTD.,PROVIDING AND RUNNING MOBILE SCIENCE LABS FOR STUDENTS FROM ~98 SELECT GOVT SCHOOLS ACROSS SEVERAL LOCATIONS,PROMOTING EDUCATION,SCHEDULE VII (II),,10.09,,,AGASTYA INTERNATIONAL FOUNDATION,10.0943,HARYANA,FARIDABAD,City
ABB,ABB INDIA LTD.,PROVIDING AND RUNNING MOBILE SCIENCE LABS FOR STUDENTS FROM ~98 SELECT GOVT SCHOOLS ACROSS SEVERAL LOCATIONS,PROMOTING EDUCATION,SCHEDULE VII (II),,10.09,,,AGASTYA INTERNATIONAL FOUNDATION,10.0943,KARNATAKA,MYSURU,City
ABB,ABB INDIA LTD.,PROVIDING AND RUNNING MOBILE SCIENCE LABS FOR STUDENTS FROM ~98 SELECT GOVT SCHOOLS ACROSS SEVERAL LOCATIONS,PROMOTING EDUCATION,SCHEDULE VII (II),,10.09,,,AGASTYA INTERNATIONAL FOUNDATION,10.0943,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,ROAD SAFETY TRAINING PROGRAM FOR SCHOOL CHILDREN,PROMOTING EDUCATION,SCHEDULE VII (II),,6.25,,,ADVANTAGE NASHIK FOUNDATION,6.25,MAHARASHTRA,NASHIK,City
ABB,ABB INDIA LTD.,"SPONSORING MID-DAY MEALS FOR THE HUMANITARIAN PROGRAMME FOR AROUND 15,000 CHILDREN OF IDENTIFIED GOVERNMENT SCHOOLS",PROMOTING EDUCATION,SCHEDULE VII (II),,37.28,,,"AKSHAYA PATRA FOUNDATION,THE",37.2783,GUJARAT,VADODARA,City
ABB,ABB INDIA LTD.,"SPONSORING MID-DAY MEALS FOR THE HUMANITARIAN PROGRAMME FOR AROUND 15,000 CHILDREN OF IDENTIFIED GOVERNMENT SCHOOLS",PROMOTING EDUCATION,SCHEDULE VII (II),,37.28,,,"AKSHAYA PATRA FOUNDATION,THE",37.2783,KARNATAKA,BENGALURU,City
ABB,ABB INDIA LTD.,"SPONSORING MID-DAY MEALS FOR THE HUMANITARIAN PROGRAMME FOR AROUND 15,000 CHILDREN OF IDENTIFIED GOVERNMENT SCHOOLS",PROMOTING EDUCATION,SCHEDULE VII (II),,37.28,,,"AKSHAYA PATRA FOUNDATION,THE",37.2783,KARNATAKA,MYSURU,City
ABB,ABB INDIA LTD.,EDUCATION PROGRAMME FOR ADOLESCENT GIRLS AND BOYS FOR SELECT VILLAGES OF GUJARAT AND SKILL DEVELOPMENT PROGRAM FOR WOMEN,PROMOTING EDUCATION & SKILL DEVELOPMENT,SCHEDULE VII (II),,9.0,,,MAHILA SEWA TRUST,9.0,GUJARAT,GUJARAT,State
ABB,ABB INDIA LTD.,CONTRIBUTION TOWARDS OPERATIVE AND POST-OPERATIVE CARE FOR 125 CHILDREN WITH CLEFT LIP AND PALATE ABNORMALITIES AND ALSO FOR AWARENESS BUILDING CAMPAIGN ACROSS CHOSEN LOCATIONS,PROMOTING PREVENTIVE HEALTHCARE,SCHEDULE VII (I),,4.98,,,AKILA BHARATHA MAHILA SEVA SAMAJA,4.98,ALL STATES,ALL STATES,State
