Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
HINDALCO,HINDALCO INDUSTRIES LTD.,AGRICULTURE AND FARM BASED: AGRICULTURE AND HORTICULTURE TRAININGS; TRANSFER OF TECHNOLOGY; SUPPORT TO DEMONSTRATION PLOTS; AGRICULTURAL IMPLEMENTS AND INPUTS; EXPOSURE VISITS; INTEGRATED AGRICULTURE / HORTICULTURE PROGRAMMES; SOIL HEALTH AND ORGANIC FARMING. ENVIRONMENT AND SUSTAINABLE LIVELIHOOD,,"SCHEDULE VII (II), SCHEDULE VII (IV)",50.0,55.92,,55.92,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARGADA,RANCHI),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA)"
HINDALCO,HINDALCO INDUSTRIES LTD.,ANIMAL HUSBANDRY: ANIMAL VACCINATION AND TREATMENT; BREED IMPROVEMENT; MILK PRODUCTIVITY IMPROVEMENT PROGRAMMES AND TRAININGS. ENVIRONMENT AND SUSTAINABLE LIVELIHOOD,,"SCHEDULE VII (II), SCHEDULE VII (IV)",16.0,15.43,,15.43,,,"CHHATTISGARH (BALARAMPUR),JHARKHAND (LOHARDAGA),KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBALPUR),UTTAR PRADESH (SONBHADRA)"
HINDALCO,HINDALCO INDUSTRIES LTD.,"AWARENESS PROGRAMMES: COMMUNITY AWARENESS PROGRAMMES/ CAMPAIGN AGAINST SOCIAL ABUSE, EARLY MARRIAGES, HIV PREVENTION ETC SOCIAL EMPOWERMENT",,SCHEDULE VII (III),9.0,8.21,,8.21,,,"GUJARAT (BHARUCH),KARNATAKA (BELAGAVI)"
HINDALCO,HINDALCO INDUSTRIES LTD.,CURATIVE HEALTH CARE PROGRAM: HOSPITALS/ DISPENSARIES/ CLINICS; GENERAL HEALTH CHECK UP CAMPS; SPECIALISED HEALTH CAMPS; EYE CAMPS; SURGICAL CAMPS; TUBERCULOSIS,,SCHEDULE VII (I),280.0,270.15,,270.15,,,"GUJARAT (BHARUCH),JHARKHAND (GUMLA,LATEHAR,LOHARGADA,RANCHI),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR,RAIGAD),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,DISASTER RELIEF PROGRAMMES SOCIAL EMPOWERMENT,,SCHEDULE VII (VIII),50.0,59.75,,59.75,,,"GUJARAT (BHARUCH),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBALPUR),UTTAR PRADESH (SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,EDUCATION SUPPORT PROGRAMS: KNOWLEDGE CENTRE/LIBRARY; ADULT/NON FORMAL EDUCATION; CELEBRATION OF NATIONAL DAYS; COMPUTER EDUCATION; REDUCING DROP OUT AND CONTINUING EDUCATION; KASTUBA GANDHI BALIKA VIDYALAYA; CAREER COUNSELLING,,SCHEDULE VII (II),50.0,52.85,,52.85,,,"JHARKHAND (GUMLA,LATEHAR,LOHARDAGA,RANCHI),KARNATAKA (BELAGAVI),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,HEALTH INFRASTRUCTURE: RENOVATION OF HEALTH CENTRES; VILLAGE/ COMMUNITY SANITATIONS; INDIVIDUAL TOILETS; REPAIR AND INSTALLATION OF NEW DRINKING WATER SOURCES; WATER PURIFICATIONS.,,SCHEDULE VII (I),447.0,379.28,,379.28,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARDAGA),KARNATAKA (BELAGAVI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA)"
HINDALCO,HINDALCO INDUSTRIES LTD.,INSTITUTIONAL BUILDING & STRENGTHENING: STRENGTHENING AND FORMATION OF COMMUNITY BASED ORGANISATIONS / SHGS SOCIAL EMPOWERMENT,,COMMUNITY DEVELOPMENT/ INFRASTRUCTURE/ SOCIAL WELFARE/ CHILD WELFARE,10.0,10.72,,10.72,,,"CHHATTISGARH (BALARAMPUR),JHARKHAND (LOHARDAGA),MADHYA PRADESH (SINGRAULI),ODISHA (SAMBALPUR),UTTAR PRADESH (SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,LIVELIHOOD INFRASTRUCTURE: CONSTRUCTION OF CHECK DAMS; LIFT IRRIGATION ENVIRONMENT & SUSTAINABLE LIVELIHOOD,,"SCHEDULE VII (II), SCHEDULE VII (IV)",30.0,25.0,,25.0,,,"JHARKHAND (LOHARGADA,RANCHI),MADHYA PRADESH (SINGRAULI),UTTAR PRADESH (SONBHADRA),WEST BENGAL (HOWRAH)"
HINDALCO,HINDALCO INDUSTRIES LTD.,NATURAL RESOURCE CONSERVATION PROGRAMS & NON-CONVENTIONAL ENERGY: BIO GAS SUPPORT PROGRAMME; SOLAR ENERGY SUPPORT; OTHER ENERGY EFFICIENT SUPPORTS; PLANTATIONS; SOIL CONSERVATION; LAND DEVELOPMENT; WATER CONSERVATION AND HARVESTING STRUCTURES; DEVELOPMENT OF COMMON PASTURE LAND ENVIRONMENT AND SUSTAINABLE LIVELIHOOD,,"SCHEDULE VII (II), SCHEDULE VII (IV)",150.0,162.99,,162.99,,,"GUJARAT (BHARUCH),JHARKHAND (LOHARGADA,RANCHI),KERALA (ERNAKULAM),MADHYA PRADESH (SINGRAULI),MAHARASHTRA (KOLHAPUR,RAIGAD),ODISHA (SAMBHALPUR),UTTAR PRADESH (BALRAMPUR,SONBHADRA)"
