Symbol,Company,Activity,Sector,Schedule,Amount to be Spent as decided by Company (Rs.lacs),Actual Amount Spent (Rs.lacs),Direct-Agency Name/s,Direct-Amount (Rs.lacs),Implementing Agency Name/s,Implementing Agency-Amount (Rs.lacs),States (City/Town/District/Village)
3MINDIA,3M INDIA LTD.,DONATION TOWARDS JAMMU & KASHMIR DISASTER RELIEF AND REHABILITATION EFFORTS,,SCHEDULE VII (VIII),40.0,5.0,,2.5,,2.5,JAMMU & KASHMIR
3MINDIA,3M INDIA LTD.,EDUCATION: MOBILE SCIENCE LAB INITIATIVE FOR DISADVANTAGED CHILDREN BY IMPARTING INNOVATIVE SCIENCE EDUCATION AT 100 GOVERNMENT SCHOOLS IN 2 STATES -KARNATAKA & MAHARASHTRA.,,SCHEDULE VII (II),48.0,44.41,,22.2065,,22.2065,"KARNATAKA (ANEKAL),MAHARASHTRA (RANJANGAON, PUNE)"
63MOONS,63 MOONS TECHNOLOGIES LTD.,A) DN POLYTECHNIC EDUCATION TR UST (ENTREPRENEURSHIP SKILL DEVELOPMENT PROG.),,SCHEDULE VII (II),,245.0,,122.5,,122.5,ALL STATES
63MOONS,63 MOONS TECHNOLOGIES LTD.,B) SHRIMATI SAVITA MAHILA UTKARSH SEVA SANGH (PROMOTION OF EDUCATION & ENHANCEMENT OF EDUCATIONAL INFRASTRUCTURE),,SCHEDULE VII (II),,30.0,,15.0,,15.0,ALL STATES
63MOONS,63 MOONS TECHNOLOGIES LTD.,"C) JAYBHARTI FOUNDATION 50.00 (HEALTH AWARENESS ACTIVITIES, SPECIALLY FOR ECONOMICALLY UNDERPRIVILEGED WOMEN,GIRLS & CHILDREN)",,"SCHEDULE VII (I), SCHEDULE VII (III)",,50.0,,25.0,,25.0,ALL STATES
AARTIDRUGS,AARTI DRUGS LTD.,EDUCATION & SKILL DEVELOPMENT,,SCHEDULE VII (II),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,ENVIRONMENT,,SCHEDULE VII (IV),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,ERADICATION OF HUNGER & POVERTY,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,HEALTH,,SCHEDULE VII (I),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIDRUGS,AARTI DRUGS LTD.,REHABILITATION IN DISASTER AFFECTED AREAS,,SCHEDULE VII (VIII),24.13,21.0,,10.5,,10.5,"GUJARAT (KACHCHH),MAHARASHTRA (MUMBAI,PALGHAR),UTTAR PRADESH (MUZAFFARNAGAR)"
AARTIIND,AARTI INDUSTRIES LTD.,COMMUNITY TOWNSHIP AND LIVELIHOOD OPPORTUNITIES ERADICATING POVERTY AND HUNGER.,,SCHEDULE VII (I),30.0,30.0,,15.0,,15.0,MAHARASHTRA (MUMBAI)
AARTIIND,AARTI INDUSTRIES LTD.,"EDUCATION & VOCATIONAL TRAINING, HEALTHCARE, WOMEN EMPOWERMENT, WATER CONSERVATION, HYGIENE AND SANITATION, LIVE STOCK DEVELOPMENT RURAL DEVELOPMENT",,"SCHEDULE VII (I), SCHEDULE VII (II), SCHEDULE VII (III), SCHEDULE VII (X)",302.86,302.86,,151.43,,151.43,"GUJARAT (AHMEDABAD,BHARUCH,BHAVNAGAR,KACHCHH,VALSAD),MAHARASHTRA (BOISAR,THANE)"
AARTIIND,AARTI INDUSTRIES LTD.,RELIEF & REHABILITATION,,SCHEDULE VII (VIII),27.0,27.0,,13.5,,13.5,JAMMU & KASHMIR
ABB,ABB INDIA LTD.,ALTERATION OF REST ROOM AT GOVERNMENT PRIMARY SCHOOL NELAGADARNAHALLI PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,1.9,,,,,"KARNATAKA (BENGALURU,PEENYA)"
ABB,ABB INDIA LTD.,CIVIL WORKS AT GOVERNMENT GIRLS HIGH SCHOOL FARIDABAD PROMOTING EDUCATION,,SCHEDULE VII (II),,8.62,,,,,HARYANA (FARIDABAD)
ABB,ABB INDIA LTD.,CONTRIBUTIONS OF ESSENTIAL ITEMS TO TAMIL NADU FLOOD RELIEF OPERATION NATURAL DISASTERRELIEF,,SCHEDULE VII (VIII),,6.14,,,,,TAMIL NADU
ABB,ABB INDIA LTD.,DISASTER RELIEF,,SCHEDULE VII (VIII),,8.44,,,,,ALL STATES
ABB,ABB INDIA LTD.,EDUCATION,,SCHEDULE VII (II),,9.0,,,,,ALL STATES
ABB,ABB INDIA LTD.,HEALTH,,SCHEDULE VII (I),,1.31,,,,,ALL STATES
ABB,ABB INDIA LTD.,INFRASTRUCTURE AND CIVIL WORKS OF THE SCHOOL BUILDING AT PRIMARY SCHOOL GOVARDHAN SCHOOL NASHIK PROMOTING EDUCATION,,SCHEDULE VII (II),,4.12,,,,,MAHARASHTRA (NASHIK)
ABB,ABB INDIA LTD.,PAINTING WORK AT GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.83,,,,,"KARNATAKA (BENGALURU,PEENYA)"
ABB,ABB INDIA LTD.,PURCHASE OF SHOES FOR SCHOOL CHILDREN AT NASHIK GOVARDHAN SCHOOL PROMOTING EDUCATION,,SCHEDULE VII (II),,0.11,,,,,MAHARASHTRA (NASHIK)
ABB,ABB INDIA LTD.,PURCHASE OF TEXT BOOKS FOR GOVERNMENT HIGH SCHOOL FARIDABAD PROMOTING EDUCATION,,SCHEDULE VII (II),,0.42,,,,,HARYANA (FARIDABAD)
ABB,ABB INDIA LTD.,SPONSORING MID-DAY MEALS FOR THE HUMANITARIAN PROGRAMME FOR THE CHILDREN OF IDENTIFIED SCHOOLS THROUGH THE AKSHAYA PATRA FOUNDATION ERADICATING HUNGER AND PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,3.06,,,,,GUJARAT (MANEJA)
ABB,ABB INDIA LTD.,SUPPLY OF PAPAD MAKING MACHINE TO THE NGO PRABHODHINI TRUST NASHIK DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT,,SCHEDULE VII (II),,0.25,,,,,MAHARASHTRA (NASHIK)
ABB,ABB INDIA LTD.,SUPPLY OF PREFABRICATE PORTOLET TOILET BLOCK TO 42 SCHOOLS IN BHAWANIPUR BLOCK PURNEA BIHAR PROMOTING SANITATION & SWACHH BHARATVIDYALAY,,SCHEDULE VII (I),,16.07,,,,,"BIHAR (BHAWANIPUR,PURNEA)"
ABB,ABB INDIA LTD.,SUPPLY OF STATIONERY ITEMS AND INSTRUMENTS BOXES FOR 15 SELECT GOVERNMENT SCHOOLS NELAMANGALA RURAL DISTRICT PROMOTING EDUCATION,,SCHEDULE VII (II),,0.46,,,,,KARNATAKA (NELAMANGALA)
ABB,ABB INDIA LTD.,TEXT BOOKS DISTRIBUTION PURCHASE OF MAINTENANCE ITEMS FOR SWACHH BHARAT CLEANING MISSION AT THE GOVERNMENT HIGH SCHOOL TANDAVAPURA MYSORE PROMOTING EDUCATION,,"SCHEDULE VII (I), SCHEDULE VII (II)",,0.11,,,,,"KARNATAKA (MYSURU,TANDAVAPURA)"
ABB,ABB INDIA LTD.,UNITED WAY OF BARODA LOCAL ART & CULTURAL FESTIVAL PROMOTION OF ART AND CULTURE,,SCHEDULE VII (V),,0.13,,,,,GUJARAT (MANEJA)
ABB,ABB INDIA LTD.,WATER PROOFING WORK AT TERRACE GOVERNMENT HIGHER PRIMARY SCHOOL LAGGERE CLUSTER BENGALURU PROMOTING EDUCATION,,SCHEDULE VII (II),,0.1,,,,,"KARNATAKA (BENGALURU,PEENYA)"
ABB,ABB INDIA LTD.,WEEKLY COMMUNITY HEALTH CAMP FOR LOCAL COMMUNITY IN PEENYA PROMOTING PREVENTIVE HEALTH CARE,,SCHEDULE VII (I),,0.3,,,,,"KARNATAKA (BENGALURU,PEENYA)"
ABGSHIP,ABG SHIPYARD LTD.,CONTRIBUTION TO CHIEF MINISTER CLEANLINESS FUND ENVIRONMENTAL SUSTAINABILITY,,SCHEDULE VII (IV),3.0,3.0,,3.0,,,GUJARAT
ABGSHIP,ABG SHIPYARD LTD.,SUPPORT TO PRIMARY SCHOOL,,SCHEDULE VII (II),1.05,1.05,,1.05,,,"GUJARAT,UTTARAKHAND"
ACC,ACC LTD.,ACC AROGYAM HEALTH ERADICATING HUNGER POVERTY AND MALNUTRITION PROMOTING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,,SCHEDULE VII (I),129.5,92.5,"SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SARVA SEVA SAMITI SANSTHA,FORUM FOR RURAL DEVELOPMENT,SATTVA,HARITIKA,CREATIVE INDIA,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,UDYOGINI,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,PANCHAM RESEARCH & BIO TECH SANSTHAN,BALA JI ASSOCIATES,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,CENTUM FOUNDATION,AKRUTI RURAL DEVELOPMENT TRUST,DEEDS,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,MAHASHAKTI FOUNDATION,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,AGRANEE JAN KALYAN ANUSTHAN,JAN SEVAK SAMITI,JAN MANGAL SANSTHAN,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CREDA,SANSKAR,WESTRIC TRUST,FOUNDATION FOR MSME CLUSTERS,DILASA JANVIKAS PRATISHTHAN,IIMPACT, NEW DELHI",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC DISHA YOUTH EMPLOYABILITY PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),73.75,92.75,"ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,JAN MANGAL SANSTHAN,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,INDIAN GRAMEEN SERVICES,PANCHAM RESEARCH & BIO TECH SANSTHAN,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,MAHASHAKTI FOUNDATION,LOKA KALYAN PARISHAD,NAAD GUNJAN KALA PARISHAD,DEEDS,FOUNDATION FOR MSME CLUSTERS,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,BALA JI ASSOCIATES,WESTRIC TRUST,JAN SEVAK SAMITI,HARITIKA,IIMPACT, NEW DELHI,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,CENTUM FOUNDATION,UDYOGINI,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CREDA,SANSKAR,SATTVA,SARVA SEVA SAMITI SANSTHA,AMHI AMCHYA AROGYASATHI,CHATTISGARH PRADESH JUDO SANGH,DILASA JANVIKAS PRATISHTHAN",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC DRONA PROMOTING LOCAL ARTS AND CULTURE TRAINING TO PROMOTE RURAL SPORTS NATIONALLY RECOGNIZED SPORTS PARALYMPIC SPORTS AND OLYMPIC SPORTS PROTECTION OFNATIONAL HERITAGE ART AND CULTURE INCLUDING RESTORATION OF BUILDINGS AND SITES OF HISTORICAL IMPORTANCE AND WORKS OF ART SETTING UP PUBLIC LIBRARIES PROMOTION AND DEVELOPMENT OF TRADITIONAL ARTS AND HANDICRAFTS,,"SCHEDULE VII (II), SCHEDULE VII (V), SCHEDULE VII (VII)",48.75,23.5,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,PANCHAM RESEARCH & BIO TECH SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,JAN MANGAL SANSTHAN,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,WESTRIC TRUST,SATTVA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,AKRUTI RURAL DEVELOPMENT TRUST,FOUNDATION FOR MSME CLUSTERS,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,INDIAN GRAMEEN SERVICES,DILASA JANVIKAS PRATISHTHAN,JAN SEVAK SAMITI,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,HARITIKA,IIMPACT, NEW DELHI,BALA JI ASSOCIATES",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC LIESA SUSTAINABLE AGRICULTURE PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),101.0,166.0,"MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,JAN MANGAL SANSTHAN,INDIAN GRAMEEN SERVICES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,CREDA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CHATTISGARH PRADESH JUDO SANGH,AMHI AMCHYA AROGYASATHI,SATTVA,SARVA SEVA SAMITI SANSTHA,IIMPACT, NEW DELHI,JAN SEVAK SAMITI,HARITIKA,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,BALA JI ASSOCIATES,WESTRIC TRUST,DILASA JANVIKAS PRATISHTHAN,SANSKAR,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,AKRUTI RURAL DEVELOPMENT TRUST,AGRANEE JAN KALYAN ANUSTHAN,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC SAMPOORN SWACHHATA SANITATION ERADICATING HUNGER POVERTY AND MALNUTRITION PROMOTING PREVENTIVE HEALTH CARE AND SANITATION AND MAKING AVAILABLE SAFE DRINKING WATER,,SCHEDULE VII (I),126.5,103.5,"AMHI AMCHYA AROGYASATHI,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,JAN MANGAL SANSTHAN,CREDA,SANSKAR,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,SARVA SEVA SAMITI SANSTHA,CHATTISGARH PRADESH JUDO SANGH,WESTRIC TRUST,FOUNDATION FOR MSME CLUSTERS,DILASA JANVIKAS PRATISHTHAN,SATTVA,HARITIKA,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,IIMPACT, NEW DELHI,UDYOGINI,CENTUM FOUNDATION,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,INDIAN GRAMEEN SERVICES,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,JAN SEVAK SAMITI,AKRUTI RURAL DEVELOPMENT TRUST,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,BALA JI ASSOCIATES,PANCHAM RESEARCH & BIO TECH SANSTHAN",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC SANRAKSHIT PARYAVARAN CONSERVATION OF ENVIRONMENT ENSURING ENVIRONMENTAL SUSTAINABILITY ECOLOGICAL BALANCE PROTECTION OF ANIMAL WELFARE AGROFORESTRY CONSERVATION OF NATURAL RESOURCES AND MAINTAINING QUALITY OF SOIL AIR AND WATER,,SCHEDULE VII (IV),63.25,79.0,"DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,JAN MANGAL SANSTHAN,AMHI AMCHYA AROGYASATHI,UDYOGINI,CREDA,SANSKAR,WESTRIC TRUST,FORUM FOR RURAL DEVELOPMENT,SARVA SEVA SAMITI SANSTHA,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,HARITIKA,IIMPACT, NEW DELHI,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,FOUNDATION FOR MSME CLUSTERS,DILASA JANVIKAS PRATISHTHAN,SATTVA,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,AGRANEE JAN KALYAN ANUSTHAN,CREATIVE INDIA,INDIAN GRAMEEN SERVICES,CENTUM FOUNDATION,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE,JAN SEVAK SAMITI,AKRUTI RURAL DEVELOPMENT TRUST,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,PANCHAM RESEARCH & BIO TECH SANSTHAN,BALA JI ASSOCIATES",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (AURANGABAD,BEED,CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC SUPPORTING TWO ANTI RETROVIRAL TREATMENT CENTERS AT WADI AND CMC VELLORE THROUGH ITS OWN TRUSTS FOR HIV/ AIDS PREVENTION AND TREATMENT,,SCHEDULE VII (I),75.0,59.25,,,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC SWAVLAMBAN WOMEN EMPOWERMENT PROMOTING GENDER EQUALITY EMPOWERING WOMEN SETTING UP HOMES AND HOSTELS FOR WOMEN AND ORPHANS SETTING UP OLD AGE HOMES DAY CARE CENTRES AND SUCH OTHER FACILITIES FOR SENIOR CITIZENS AND MEASURES FOR REDUCING INEQUALITIES FACED BY SOCIALLY AND ECONOMICALLY BACKWARD GROUPS,,SCHEDULE VII (III),76.25,84.0,"PANCHAM RESEARCH & BIO TECH SANSTHAN,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,AGRANEE JAN KALYAN ANUSTHAN,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,CREATIVE INDIA,CENTUM FOUNDATION,UDYOGINI,SANSKAR,DILASA JANVIKAS PRATISHTHAN,SARVA SEVA SAMITI SANSTHA,AMHI AMCHYA AROGYASATHI,CHATTISGARH PRADESH JUDO SANGH,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,FOUNDATION FOR MSME CLUSTERS,AKRUTI RURAL DEVELOPMENT TRUST,JAN SEVAK SAMITI,HARITIKA,IIMPACT, NEW DELHI,WESTRIC TRUST,CREDA,SATTVA,INDIAN GRAMEEN SERVICES,JAN MANGAL SANSTHAN,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,BALA JI ASSOCIATES,FORUM FOR RURAL DEVELOPMENT,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
ACC,ACC LTD.,ACC VIDYA SAARATHI SCHOLARSHIP AND SUPPORT PROMOTION OF EDUCATION INCLUDING SPECIAL EDUCATION AND EMPLOYMENT ENHANCING VOCATION SKILLS ESPECIALLY AMONG CHILDREN WOMEN ELDERLY AND THE DIFFERENTLY ABLED AND LIVELIHOOD ENHANCEMENT PROJECT,,SCHEDULE VII (II),14.25,9.5,"SARVA SEVA SAMITI SANSTHA,AMHI AMCHYA AROGYASATHI,CHATTISGARH PRADESH JUDO SANGH,SERDS KADIRANNAGARI PALLI BAGEPALLI TAL,SATTVA,DILASA JANVIKAS PRATISHTHAN,FORUM FOR RURAL DEVELOPMENT,FOUNDATION FOR MSME CLUSTERS,DEVELOPMENTAL ASSOCIATION FOR HUMAN ADVANCEMENT,JAN MANGAL SANSTHAN,SULABH INTERNATIONAL SOCIAL SERVICE ORGANISATION,BALA JI ASSOCIATES,ACC MAVIM LOKSANCHALIT SADHAN KENDRA-CMRC,CREDA,SANSKAR,HIMACHAL PRADESH VOLUNTARY HEALTH ASSOCIATION,PANCHAM RESEARCH & BIO TECH SANSTHAN,IIMPACT, NEW DELHI,HARITIKA,SOCIAL EMPOWERMENT & ECONOMIC DEVELOPMENT SOCIETY,CREATIVE INDIA,UDYOGINI,AGRANEE JAN KALYAN ANUSTHAN,JAN SEVAK SAMITI,SELF RELIANT INITIATIVES THROUGH JOINT ACTION,DEEDS,MAHASHAKTI FOUNDATION,NAAD GUNJAN KALA PARISHAD,LOKA KALYAN PARISHAD,INDIAN GRAMEEN SERVICES,CENTUM FOUNDATION,AKRUTI RURAL DEVELOPMENT TRUST,WESTRIC TRUST,MAHATMA GANDHI INTEGRATED DEVELOPMENT & EDUCATION INSTITUTE",,,,"CHHATTISGARH (BILASPUR,DURG),JHARKHAND (DHANBAD,WEST SINGHBHUM),KARNATAKA (BELLARY,CHIKKABALLAPUR,GULBARGA),MADHYA PRADESH (KATNI),MAHARASHTRA (CHANDRAPUR,YAVATMAL),ODISHA (BARGARH),RAJASTHAN (BUNDI),TAMIL NADU (COIMBATORE),UTTAR PRADESH (GAURIGANJ),WEST BENGAL (PURULIA)"
