Location,Intelligent_Class
LOCAL AREA CHENNAI,Town
LOCAL AREA DEHRADUN,Town
LOCAL AREA DELHI /NCR,Town
LOCAL AREA DINDIGUL,Town
LOCAL AREA FARIDABAD,Town
LOCAL AREA GHAZIABAD,Town
LOCAL AREA GHAZIABAD RUDRAPUR,Town
LOCAL AREA GOBINDPUR PRYSCHOOL,Town
LOCAL AREA GUJARAT,Town
LOCAL AREA GUNDECHA RAJPARDI NETRANG,Town
LOCAL AREA GURUGRAM,Village
LOCAL AREA KASHMIR,Town
LOCAL AREA KEONJHAR DIST.,District
LOCAL AREA KOLHAHUNDULA PRYSCHOOL,Town
LOCAL AREA KOLKATA,Town
LOCAL AREA MAHARASHTRA,Town
LOCAL AREA MUMBAI,Town
LOCAL AREA MURGAPRY SCHOOL G.P DEOJHAR,Town
LOCAL AREA NAGARJUNA,Town
LOCAL AREA NAM PROJECT HYDERABAD,Town
LOCAL AREA NAVI MUMBAI,Town
LOCAL AREA NEW DELHI,Town
LOCAL AREA OF 5 G.P.,Town
LOCAL AREA SRINAGAR,Town
LOCAL AREA VARANASI,Town
LOCAL AREA VILLAGE BALITA,Village
LOCAL AREA VILLAGE BILEIPADA,Village
LOCAL AREA VILLAGE BILEIPADA TO BIRIKALA,Village
LOCAL AREA VILLAGE JAMUKUNDIA PRIMARY SCHOOL JODA BLOCK,Village
LOCAL AREA VILLAGE KULDUM,Village
LOCAL AREA VILLAGE LAHANDA,Village
LOCAL AREA VILLAGE PUTUGAON,Village
LOCAL AREA VILLAGE SANKARPUR,Village
LOCAL AREA WEST BENGAL,Town
LOCAL AREA WEST GODAWARI DIST.,District
LOCAL PUBLIC OF NEARBY AREAS OF TROMBAY,Town
LOCAL TS,Town
LOCAL VILLAGE ATALI,Village
LOCAL VILLAGE DEV DHOLERA,Village
LOCAL VILLAGE JOLWA,Village
LOHAGHAT,District
LOHARAWAS SIKAR,Town
LOHARDAGA,District
LOHARGADA,Town
LOHIT,District
LONAVALA,Town
LOTE,Village
LOTE CHIPLUN,Town
LOTE MAHAD,Town
LOUGAON,Village
LOWER ASSAM,Town
LOWER DIBANG VALLEY,District
LUCKNOW,City
LUCKNOW DIST.,District
LUDHIANA,City
M HOSAHALLI,Village
MACHARAM,Village
MACHERLA IN GUNTUR DIST.,District
MACHILIPATNAM,City
MADANAPALLE,City
MADHEPURA,District
MADHOSINGH,Town
MADHUBANI,District
MADHUPUR,District
MADIPUR,Town
MADURAI,City
MADURANTHAKAM,Town
MAGADI,Town
MAGARWARA,Village
MAHABALESHWAR,Town
MAHABUBNAGAR,District
MAHABUBNAGAR DIST.,District
MAHAD,Town
MAHAD INDUSTRIAL AREA,Town
MAHALUNGE,Village
MAHAN,City
MAHBUBNAGAR,City
MAHENDRAGARH,District
MAHESANA,City
MAHESHWARAM MANDAL,Village
MAHIM,Town
MAHIPALPUR,Village
MAHOBA,District
MAHUAKHERA GANJ DIST.,District
MAINPURI,District
MAJRI KARALA,Town
MAKARPURA,Town
MAKHNU MAJRA,Town
MALAD EAST,Town
MALANDIGHI,Town
MALANPUR,City
MALAPPURAM,District
MALDA,City
MALIN,City
MALLEPALLY,Town
MALLIKAMBA IN WARANGAL DIST.,District
MALUR,City
