Location,Class,Intelligent_Class
BECHARAJI,Unclassified,District
BEED,Unclassified,District
BEGUR,Unclassified,City
BEGUSARAI,Unclassified,District
BELAGAVI,Unclassified,District
BELLARY,Unclassified,City
BELUR,Unclassified,Town
BELUR MATH,Unclassified,Town
BELWA,Unclassified,City
BEMETARA,Unclassified,District
BENGALURU,Unclassified,City
BETUL,Unclassified,District
BHADOHI,Unclassified,District
BHADRAK,Unclassified,District
BHADRESWAR,Unclassified,Town
BHAGALPUR,Unclassified,District
BHAGWANPUR,Unclassified,District
BHANDARA,Unclassified,District
BHANDUP,Unclassified,Town
BHARAT NAGAR,Unclassified,Town
BHARATPUR,Unclassified,District
BHARUCH,Unclassified,City
BHATAPARA,Unclassified,Town
BHATIA,Unclassified,City
BHAVNAGAR,Unclassified,City
BHAWANI MANDI,Unclassified,Town
BHAYANDAR,Unclassified,Town
BHESTAN,Unclassified,Town
BHIKAJI CAMA PLACE,Unclassified,Town
BHILAI,Unclassified,City
BHILWARA,Unclassified,District
BHIMASAR,Unclassified,Village
BHIMTAL,Unclassified,Town
BHIND,Unclassified,District
BHIWADI,Unclassified,City
BHIWANDI,Unclassified,City
BHIWANI,Unclassified,City
BHOJPUR,Unclassified,District
BHONGIR,Unclassified,Town
BHOOTHPUR,Unclassified,Village
BHOPAL,Unclassified,City
BHUBANESWAR,Unclassified,City
BHUJ,Unclassified,City
BIDADI,Unclassified,Town
BIDAR,Unclassified,District
BIJAPUR,Unclassified,Town
BIJNOR,Unclassified,District
BIKANER,Unclassified,City
BILASPUR,Unclassified,District
BILSARAYAN,Unclassified,Town
BINA,Unclassified,Town
BINDRA NAVAGARH,Unclassified,Town
BINWADA,Unclassified,Town
BIRBHUM,Unclassified,District
BIRGAON,Unclassified,City
BISHNUPUR,Unclassified,Town
BOISAR,Unclassified,Town
BOKARO,Unclassified,District
BOLANGIR,Unclassified,District
BOLPUR,Unclassified,City
BONGAIGAON,Unclassified,City
BONGAIGOAN,Unclassified,Town
BONHOOGHLY,Unclassified,Town
BORIA,Unclassified,City
BRAMHANWADI,Unclassified,Village
BUDASAN,Unclassified,Town
BUDAUN,Unclassified,City
BUDGE BUDGE,Unclassified,City
BUDHNI,Unclassified,Town
BULANDSHAHR,Unclassified,District
BULDHANA,Unclassified,District
BUNDU,Unclassified,District
BURDWAN,Unclassified,City
BURMU,Unclassified,District
BUTIBORI,Unclassified,Village
BUXAR,Unclassified,District
CACHAR,Unclassified,District
CALICUT,Unclassified,Town
CHADEL,Unclassified,Town
CHAIBASA,Unclassified,District
CHAKAN,Unclassified,Town
CHAMARAJANAGAR,Unclassified,District
CHAMBA,Unclassified,District
CHAMOLI,Unclassified,District
CHAMPA,Unclassified,Town
CHAMPAI,Unclassified,Town
CHAMPAWAT,Unclassified,District
CHAMPDANI,Unclassified,Town
CHANDAULI,Unclassified,District
CHANDEL,Unclassified,City
CHANDERIA,Unclassified,Town
CHANDEY,Unclassified,Town
CHANDIMANDIR,Unclassified,Town
CHANDRAPUR,Unclassified,District
CHANGLANG,Unclassified,District
CHATRA,Unclassified,District
CHEMBUR,Unclassified,Town
CHENNAI,Unclassified,City
CHERTHALA,Unclassified,Town
CHHAPRA,Unclassified,District
CHHARODI,Unclassified,Town
CHHATARPUR,Unclassified,District
CHHINDWARA,Unclassified,District
CHHOTA UDAIPUR,Unclassified,District
CHICHPALLI,Unclassified,Village
CHIDAMBARAM,Unclassified,Town
CHIKKABALLAPUR,Unclassified,Town
CHIKKAMAGALURU,Unclassified,District
CHIKLA,Unclassified,City
CHIKMAGALUR,Unclassified,City
CHINCHOLI,Unclassified,Town
CHINCHWAD,Unclassified,Town
CHINTAMANI,Unclassified,Town
CHIRAKOOT,Unclassified,Town
CHIRALA,Unclassified,Town
CHIRANG,Unclassified,District
CHIRAWA,Unclassified,Town
CHITOOR,Unclassified,Town
CHITRADURGA,Unclassified,District
CHITRAKOOT,Unclassified,District
CHITTOOR,Unclassified,District
CHITTORGARH,Unclassified,District
CHOPANKI,Unclassified,Town
CHORYASHI,Unclassified,Town
CHUBWA,Unclassified,Town
CHUNAR,Unclassified,Town
CHURACHANDPUR,Unclassified,Town
CHURU,Unclassified,District
COCHIN,Unclassified,City
COIMBATORE,Unclassified,City
CONNAUGHT PLACE,Unclassified,Town
COORG,Unclassified,District
COWL BAZAAR,Unclassified,Town
CUDAPPAH,Unclassified,Town
CUDDALORE,Unclassified,District
CUMBUM,Unclassified,Town
CUTTACK,Unclassified,City
DABURJEE,Unclassified,Town
DADAR,Unclassified,Town
DADHEDA,Unclassified,Town
DADRA,Unclassified,District
DADRI,Unclassified,Town
DAFAIPARA,Unclassified,Town
DAHANU,Unclassified,Town
DAHEJ,Unclassified,Town
DAHOD,Unclassified,District
DAKSHINA KANNADA,Unclassified,District
DALHOUSIE,Unclassified,District
DALTANGANJ,Unclassified,Town
DAMAN,Unclassified,City
DAMOH,Unclassified,District
DANG,Unclassified,District
DANGS,Unclassified,District
DANKAUR,Unclassified,Village
DANTEWADA,Unclassified,District
DARBHANGA,Unclassified,District
DARJEELING,Unclassified,City
DARLAGHAT,Unclassified,District
DARRANG,Unclassified,District
DAUSA,Unclassified,District
DAVANAGERE,Unclassified,District
DEDIAPADA,Unclassified,Town
DEHRADUN,Unclassified,City
DEHRAND,Unclassified,Town
DELANGA,Unclassified,District
DELHI /NCR,Unclassified,Town
DEMNI,Unclassified,Town
DENKANIKOTTAI,Unclassified,District
DEOGARH,Unclassified,City
DEORIA,Unclassified,District
DERABASSI,Unclassified,Town
DESAI FALIYA,Unclassified,Town
DEULI,Unclassified,Town
DEVANAHALLI,Unclassified,Town
DEVAPUR DIST.,Unclassified,District
DEVBHUMI DWARKA,Unclassified,Town
DEVGAD BARIA,Unclassified,Town
DEWAS,Unclassified,District
DHAMANPET,Unclassified,Town
DHAMARI,Unclassified,City
DHAMDHERE,Unclassified,Village
DHAMRA,Unclassified,Village
DHAMTARI,Unclassified,District
DHANBAD,Unclassified,City
DHANKHET,Unclassified,Town
DHAR,Unclassified,District
DHARAMPUR,Unclassified,Town
DHARAMPURI,Unclassified,City
DHARAVI,Unclassified,Town
DHARMAPURI,Unclassified,District
DHARSIWA,Unclassified,Town
DHARUHERA,Unclassified,Town
DHARWAD,Unclassified,District
DHASIWAN,Unclassified,Town
DHAULA KUAN,Unclassified,Town
DHELA,Unclassified,Town
DHEMAJI,Unclassified,District
DHENKANAL,Unclassified,District
DHRANGADHRA,Unclassified,Town
DHUBRI,Unclassified,District
DHULE,Unclassified,District
DIAMOND HARBOUR ROAD,Unclassified,Town
DIBANG VALLEY,Unclassified,District
DIBRUGARH,Unclassified,City
DIMAPUR,Unclassified,District
