Location,Class,Intelligent_Class
MATA NO MADH,Unclassified,City
MATHURA,Unclassified,City
MAU,Unclassified,District
MAVAL,Unclassified,Town
MAYURBHANJ,Unclassified,District
MEDAK,Unclassified,District
MEDAVAKKAM,Unclassified,Town
MEERUT,Unclassified,District
MEHSANA,Unclassified,Town
MELATTUR,Unclassified,Town
MEWAT,Unclassified,District
MGR NAGAR,Unclassified,Village
MHOW,Unclassified,Town
MIDNAPORE,Unclassified,City
MIRAJ,Unclassified,District
MIRZAPUR,Unclassified,District
MIZAPUR,Unclassified,Town
MOGA,Unclassified,District
MOHADI,Unclassified,Town
MOHALA,Unclassified,City
MOHALI,Unclassified,Town
MOHAMMADWADI,Unclassified,Town
MOHITEWADI,Unclassified,Village
MOHOJDEVDE,Unclassified,Town
MOHOL,Unclassified,District
MOKHADA,Unclassified,Village
MOLARBAND,Unclassified,Town
MORADABAD,Unclassified,District
MORBI,Unclassified,District
MORENA,Unclassified,District
MORIGAON,Unclassified,Town
MORMUGAO,Unclassified,Town
MUDIS,Unclassified,Village
MUJUNGAVU,Unclassified,Town
MUKANE,Unclassified,Town
MUKTARAMBABU,Unclassified,Town
MUKTSAR,Unclassified,City
MUKTYALA,Unclassified,Village
MUKUNDGARH,Unclassified,Town
MULSHI,Unclassified,Village
MUMBAI,Unclassified,City
MUNDEGAON,Unclassified,Village
MUNDRA,Unclassified,Town
MUNGELI,Unclassified,Town
MUNGER,Unclassified,District
MUNINDA,Unclassified,Town
MUNNAR,Unclassified,Town
MUNSAR,Unclassified,Town
MURADABAD,Unclassified,City
MURBAD,Unclassified,Town
MURSHIDABAD,Unclassified,Town
MUZAFFAR NAGAR,Unclassified,Town
MUZAFFARNAGAR,Unclassified,District
MUZAFFARPUR,Unclassified,District
MYSURU,Unclassified,City
NABRANGPUR,Unclassified,Town
NADIA,Unclassified,District
NADIAD,Unclassified,City
NADIKUDI,Unclassified,Village
NAGABABA NAGAR,Unclassified,Town
NAGAON,Unclassified,District
NAGAPATTINAM,Unclassified,District
NAGAUR,Unclassified,District
NAGPUR,Unclassified,City
NAGPUR DIST.,Unclassified,District
NAIGAON,Unclassified,Town
NAINI,Unclassified,Town
NAINITAL,Unclassified,District
NAKA,Unclassified,City
NALAGARH,Unclassified,District
NALANCHIRA,Unclassified,Town
NALANDA,Unclassified,Town
NALBARI,Unclassified,District
NALGONDA,Unclassified,City
NAMAKKAL,Unclassified,District
NAMKUM,Unclassified,District
NANAKAPAYA,Unclassified,Town
NANDAGOKUL,Unclassified,Village
NANDAYAL,Unclassified,Town
NANDED,Unclassified,District
NANDESARI,Unclassified,Town
NANDIGAMA,Unclassified,Town
NANDIGAON,Unclassified,Village
NANDURBAR,Unclassified,District
NANGAL,Unclassified,Town
NANGALIA,Unclassified,Town
NANITAL,Unclassified,Town
NANJANGUD,Unclassified,Town
NARAINA,Unclassified,Town
NARAINPUR,Unclassified,City
NARAJ MARTHAPUR,Unclassified,Town
NARASARAOPET,Unclassified,City
NARASINGAPURAM,Unclassified,Village
NARAYANPUR,Unclassified,District
NARMADA,Unclassified,Town
NARODA,Unclassified,Town
NARSINGHPUR,Unclassified,District
NARSOBAWADI,Unclassified,Town
NASHIK,Unclassified,City
NASIK,Unclassified,Town
NATHDWARA,Unclassified,Town
NAUBATPUR,Unclassified,District
NAUPUR,Unclassified,Town
NAVAATAOLA,Unclassified,Town
NAVATIRUPATI,Unclassified,Town
NAVATOLA,Unclassified,Town
NAVI MUMBAI,Unclassified,City
NAVI NAGRI,Unclassified,Town
NAVRANGPURA,Unclassified,Village
NAVSARI,Unclassified,City
NAWADA,Unclassified,District
NAWALGARH,Unclassified,Town
NAYA RAIPUR,Unclassified,Town
NAYAGARH,Unclassified,District
NEEMRANA,Unclassified,Town
NEEMUCH,Unclassified,District
NELAMANGALA,Unclassified,City
NELLIKUPPAM,Unclassified,Village
NELLORE,Unclassified,City
NENAVA,Unclassified,Town
NERAL,Unclassified,Town
NETRANG,Unclassified,Town
NEW DELHI,Unclassified,City
NEW MULUND,Unclassified,Town
NEW PANVEL,Unclassified,Town
NIGRIE,Unclassified,Village
NILGIRIS,Unclassified,District
NIRA,Unclassified,Town
NIZAMABAD,Unclassified,City
NOIDA,Unclassified,City
NONADANGA,Unclassified,Town
NOOMBAL,Unclassified,Town
NOORPUR,Unclassified,Town
NORTH,Unclassified,Town
NORTH 24 PARGANAS,Unclassified,District
NORTH GOA,Unclassified,District
NORTH GUWAHATI,Unclassified,District
NORTH KARNATAKA,Unclassified,Town
NUH,Unclassified,District
OKHA,Unclassified,Town
OKHLA,Unclassified,Town
OKKIYAM,Unclassified,Town
ONGOLE,Unclassified,City
OSARA,Unclassified,City
OSMANABAD,Unclassified,Town
OYAN,Unclassified,Town
PAALI,Unclassified,Town
PACHPADRA,Unclassified,Town
PADAVEDU,Unclassified,Village
PADGHE,Unclassified,Town
PAHADI,Unclassified,City
PAHARPUR,Unclassified,District
PALAKKAD,Unclassified,District
PALANPUR,Unclassified,City
PALGHAR,Unclassified,District
PALI,Unclassified,District
PALLI,Unclassified,City
PALLIKARANAI,Unclassified,Town
PALWAL,Unclassified,District
PAMBA,Unclassified,Town
PANAJI,Unclassified,City
PANANDHRO,Unclassified,Village
PANCHKULA,Unclassified,Town
PANCHMAHAL,Unclassified,District
PANDHRO,Unclassified,Town
PANGODE,Unclassified,Town
PANIPAT,Unclassified,City
PANJARAPOLE,Unclassified,Town
PANNA,Unclassified,District
PANOLI,Unclassified,Town
PANTNAGAR,Unclassified,Town
PANVEL,Unclassified,City
PANWARIA,Unclassified,Town
PAONTA SAHIB,Unclassified,Town
PAPUM PARE,Unclassified,District
PARADEEP,Unclassified,Town
PARBHANI,Unclassified,District
PARDI,Unclassified,Town
PARLI,Unclassified,Town
PARNERA,Unclassified,Town
PARREKODO,Unclassified,Village
PASCHIM CHAMPARAN,Unclassified,Town
PASCHIM MEDINIPUR,Unclassified,District
PATALGANGA,Unclassified,Town
PATAN,Unclassified,District
PATELAD,Unclassified,Town
PATHAGAR,Unclassified,Town
PATHANAMTHITTA,Unclassified,District
PATHANAPURAM,Unclassified,Town
PATIALA,Unclassified,District
PATNA,Unclassified,City
PATRATU,Unclassified,Town
PATRAU,Unclassified,Town
PATTUKKOTTAI,Unclassified,Town
PAURI GARHWAL,Unclassified,District
PAVAGADA,Unclassified,Town
PERAMBALUR,Unclassified,District
PERAMBRA,Unclassified,Town
PERUMBAKKAM,Unclassified,Town
PERUNGUDI,Unclassified,Town
PETH,Unclassified,City
PETTAMITTA,Unclassified,Town
PEYAD,Unclassified,Town
PHILLOR,Unclassified,Town
PHOOLPUR,Unclassified,Village
PILANI,Unclassified,Town
PILIBHIT,Unclassified,District
PILKHUWA,Unclassified,Town
PILLAYARKUPPAM,Unclassified,Village
PILUDARA,Unclassified,Town
PITHAMPUR,Unclassified,City
PITHORAGARH,Unclassified,Town
PODANUR,Unclassified,Town
PONDA,Unclassified,District
PONNAMPET,Unclassified,Town
PONNERI,Unclassified,District
POOJAPURA,Unclassified,Town
POOLAM,Unclassified,Town
POONCH,Unclassified,Town
PORBANDAR,Unclassified,District
PORT BLAIR,Unclassified,City
POTHEPALLI,Unclassified,Town
PRAJWALA,Unclassified,Town
PRAKASAM,Unclassified,District
PRATAPGARH,Unclassified,District
PUDUKKOTTAI,Unclassified,District
PULICAT,Unclassified,Town
PULWAMA,Unclassified,District
PUNCHA,Unclassified,Village
PUNE,Unclassified,City
PURBA MEDINIPUR,Unclassified,District
PURBI CHAMPARAN,Unclassified,Town
PURI,Unclassified,City
PURNEA,Unclassified,City
PURULIA,Unclassified,District
PUSEWADA,Unclassified,Town
RABRIYAWAS,Unclassified,Town
RADHAPURAM,Unclassified,District
RAEBARELI,Unclassified,District
RAGIHALLI,Unclassified,City
RAICHUR,Unclassified,District
RAIGAD,Unclassified,District
RAIGARH,Unclassified,District
RAIGHAD,Unclassified,Town
RAIPUR,Unclassified,City
RAISEN,Unclassified,District
RAJALDESAR,Unclassified,Town
RAJAM,Unclassified,Town
RAJAMUNDRY,Unclassified,Town
RAJAPET MANDAL,Unclassified,Village
RAJARHAT,Unclassified,Town
RAJGARH,Unclassified,District
RAJGIR,Unclassified,Town
RAJKOT,Unclassified,City
RAJNANDGAON,Unclassified,District
RAJPARDI,Unclassified,Village
RAJPURA,Unclassified,City
RAJSAMAND,Unclassified,District
RAJULA,Unclassified,Town
RAM NAGAR,Unclassified,Town
RAMANAGARA,Unclassified,District
RAMANATHAPURAM,Unclassified,District
RAMBAN,Unclassified,District
RAMGARH,Unclassified,District
RAMKOLA,Unclassified,City
RAMPUR,Unclassified,District
RAMPUR JATTAN,Unclassified,Town
RAMPURA,Unclassified,City
RAMTEK,Unclassified,Town
RANCHI,Unclassified,City
RANGA REDDY,Unclassified,District
RANGIT,Unclassified,Town
RANGPO,Unclassified,Town
RANIKHET,Unclassified,District
RANIPET,Unclassified,District
RANJANGAON,Unclassified,Village
RANTHAMBHORE,Unclassified,Town
RAPCHA,Unclassified,Town
RAS,Unclassified,Village
RATLAM,Unclassified,District
RATNAGIRI,Unclassified,District
RAU,Unclassified,Town
RAVVA,Unclassified,Town
RAWATBHATA,Unclassified,Town
RAYAGADA,Unclassified,District
RC PURAM,Unclassified,Town
REASI,Unclassified,District
REDIVARIPALLI,Unclassified,Town
REHLA,Unclassified,City
RENGALI,Unclassified,Town
RENUKOOT,Unclassified,Town
REPALLE,Unclassified,Town
REWA,Unclassified,District
REWARI,Unclassified,City
REWASA,Unclassified,Village
RI BHOI,Unclassified,District
RISHIKESH,Unclassified,Town
RISHRA,Unclassified,Town
ROHA,Unclassified,Town
ROHELA,Unclassified,Village
ROHINI,Unclassified,Town
ROHTAK,Unclassified,City
ROING,Unclassified,Town
ROOPNAGAR,Unclassified,Town
ROORKEE,Unclassified,City
ROPAR,Unclassified,Town
ROURKELA,Unclassified,City
RUDRAPRAYAG,Unclassified,District
RUDRAPUR,Unclassified,City
RUPNAGAR,Unclassified,District
S,Unclassified,Town
SABARIMALA,Unclassified,Village
SABARKANTHA,Unclassified,District
SADIYA,Unclassified,District
SADRI,Unclassified,Town
SAGAR,Unclassified,District
SAGAR TALUQ,Unclassified,Town
SAHARANPUR,Unclassified,District
SAHARSA,Unclassified,District
SAHASTRADHARA,Unclassified,Village
SAHIBABAD,Unclassified,Town
SAHIBGANJ,Unclassified,District
SAHUPURAM,Unclassified,Village
SAKET,Unclassified,Town
SALAIDHABHA,Unclassified,Town
SALAPUR,Unclassified,City
SALASAR,Unclassified,Village
SALEM,Unclassified,District
SAMAGHOGHA,Unclassified,Town
SAMALKHA,Unclassified,District
SAMALKOT,Unclassified,Town
SAMANA,Unclassified,City
SAMASTIPUR,Unclassified,District
SAMBA,Unclassified,District
SAMBALPUR,Unclassified,District
SAMBHAL,Unclassified,District
SAMBHALPUR,Unclassified,Town
SAMINATHAPURAM,Unclassified,Village
SAMITI,Unclassified,Town
SAMLAYA,Unclassified,Town
SANAND,Unclassified,Town
SANCHORE,Unclassified,Town
SANGALI,Unclassified,Village
SANGHERA,Unclassified,Village
SANGHIPURAM,Unclassified,Village
SANGLI,Unclassified,District
SANGRUR,Unclassified,District
SANJALI,Unclassified,Town
SANKARNAGAR,Unclassified,Village
SANKILI,Unclassified,Village
SANKRAIL,Unclassified,District
SANYASIKUPPAM,Unclassified,Town
SAPHALE,Unclassified,Town
SARAIKELA-KHARSAWAN,Unclassified,District
SARAN,Unclassified,District
SARGUJA,Unclassified,Town
SARIEKELA,Unclassified,Town
SARIGAM,Unclassified,Village
SARJAPURA ROAD,Unclassified,Town
SARSAV,Unclassified,Village
SASTHAMANGALAM,Unclassified,Town
SATARA,Unclassified,District
SATE,Unclassified,Village
SATHARIA,Unclassified,Town
SATHYAMANGALAM,Unclassified,District
SATNA,Unclassified,District
SATNOOR,Unclassified,City
SAURASHTRA,Unclassified,Town
SAVARKUNDLA,Unclassified,Town
SAWAI MADHOPUR,Unclassified,District
SAWANGA,Unclassified,City
SEALDAH,Unclassified,Town
SECUNDERABAD,Unclassified,City
SEEMANDHARA,Unclassified,Town
SEHORE,Unclassified,District
SEIJOSA,Unclassified,District
SENAPATI,Unclassified,District
SEONI,Unclassified,District
SERAIKELA-KHARSAWAN,Unclassified,District
SEWAPURI,Unclassified,Town
SHADHARA,Unclassified,Town
SHADOL,Unclassified,Town
SHAHABAD,Unclassified,Town
SHAHAPUR,Unclassified,City
SHAHDARA,Unclassified,City
SHAHDOL,Unclassified,Town
SHAHEED BHAGAT SINGH NAGAR,Unclassified,District
SHAHJAHANPUR,Unclassified,District
SHAJAPUR,Unclassified,District
SHALIMAR,Unclassified,Town
SHAMEERPET,Unclassified,Town
SHAMLI,Unclassified,District
SHANKAR DEUL,Unclassified,Town
SHANTIGIRI,Unclassified,Town
SHEOPUR,Unclassified,District
SHERPUR,Unclassified,City
SHILLONG,Unclassified,City
SHIMLA,Unclassified,City
SHIMOGA,Unclassified,District
SHINDAWANE,Unclassified,Town
SHIRPUR,Unclassified,City
SHIRUR,Unclassified,District
SHIVAMOGGA,Unclassified,City
SHIVPURI,Unclassified,District
SHOLAPUR,Unclassified,City
SHOLINGANALLUR,Unclassified,District
SHOLINGUR,Unclassified,Town
SHOLTU,Unclassified,Town
SHOVARAM BASAK,Unclassified,Town
SHRAVANABELAGOLA,Unclassified,Town
SHRAVASTI,Unclassified,Village
SHRIRAMPUR,Unclassified,City
SHRUJAN,Unclassified,Town
SHUKUL BAZAR,Unclassified,Town
SHYAMPUR,Unclassified,City
SIBSAGAR,Unclassified,City
SIDHI,Unclassified,District
SIDHPUR,Unclassified,Village
SIKANDRABAD,Unclassified,City
SIKAR,Unclassified,District
SILIGURI,Unclassified,City
SILTARA,Unclassified,City
SILVASAGAR,Unclassified,Town
SILVASAILAM,Unclassified,Town
SILVASSA,Unclassified,City
SIMDEGA,Unclassified,District
SINDHUDURG,Unclassified,District
SINDONI,Unclassified,Town
SINGAMPATTI,Unclassified,Village
SINGHBHUM,Unclassified,District
SINGHBHUM EAST,Unclassified,Town
SINGHPUR,Unclassified,Town
SINGRAULI,Unclassified,District
SINNAR,Unclassified,Town
SION MUMBAI,Unclassified,Town
SIRMAUR,Unclassified,District
SIROHI,Unclassified,District
SIROLI,Unclassified,Town
SIRSA,Unclassified,District
SIRSI,Unclassified,Town
SITAMARHI,Unclassified,Town
SITAPUR,Unclassified,District
SITARGANJ,Unclassified,Town
SIVAGANGA,Unclassified,Town
SIVASAGAR,Unclassified,City
SOJAT,Unclassified,Town
SOLA,Unclassified,Town
SOLAN,Unclassified,City
SOLAPUR,Unclassified,District
SOMNATH,Unclassified,Town
SOMNATHPUR,Unclassified,Village
SONAGIRI,Unclassified,Village
SONARPUR,Unclassified,District
SONBHADRA,Unclassified,District
SONEPAT,Unclassified,Town
SONEPUR,Unclassified,District
SONIPAT,Unclassified,City
SONITPUR,Unclassified,District
SOUTH 24 PARGANAS,Unclassified,District
SOUTH GOA,Unclassified,District
SOUTH SIKKIM,Unclassified,Town
SOUTH WEST DELHI,Unclassified,City
SPITI,Unclassified,District
SRI GANGANAGAR,Unclassified,District
SRIKAKULAM,Unclassified,City
SRIKALAHASTI,Unclassified,Town
SRIMADHOPUR,Unclassified,Town
SRINAGAR,Unclassified,City
SRINIWASPURI,Unclassified,Town
SRIPERUMBUDUR,Unclassified,Town
SRIRAMPORE,Unclassified,City
SUCHINDRUM,Unclassified,Town
SUDERGARH,Unclassified,Town
SULTANPUR,Unclassified,District
SUNDARBANS,Unclassified,Town
SUNDARGARH,Unclassified,District
SUPA,Unclassified,Village
SURAT,Unclassified,City
SURATGARH,Unclassified,Town
SURENDRANAGAR,Unclassified,District
SURGUJA,Unclassified,District
SUTARWADI,Unclassified,Village
TABARIJO,Unclassified,Town
TADA,Unclassified,Town
TADKESHWAR,Unclassified,Town
TADO,Unclassified,Village
TAIMOOR NAGAR,Unclassified,Town
TAJPURA,Unclassified,City
TALASARI,Unclassified,Town
TALEGAON,Unclassified,Town
TALODARA,Unclassified,Town
TALOJA,Unclassified,Town
TALUKA,Unclassified,Village
TALUKA VELHE,Unclassified,Town
TAMBARAM,Unclassified,Town
TAMENGLONG,Unclassified,Town
TANAKPUR,Unclassified,Town
TAPI,Unclassified,Town
TARAPUR,Unclassified,Town
TARATALA,Unclassified,Town
TARN TARAN,Unclassified,District
TAURU,Unclassified,Town
TAWANG,Unclassified,City
TEESTA,Unclassified,Town
TEHRI,Unclassified,District
TEHRI GARHWAL,Unclassified,District
TEKADHORA,Unclassified,Town
TELANGANA (ADILABAD,Unclassified,Town
TENALI,Unclassified,City
TENSA,Unclassified,Town
TEZPUR,Unclassified,District
THALAIYUTHU,Unclassified,Town
THANA,Unclassified,City
THANE,Unclassified,District
THANJAVUR,Unclassified,District
THEMLONG,Unclassified,Town
THENI,Unclassified,District
THIRUBUVANAI,Unclassified,Village
THIRUKKURUNGUDI,Unclassified,Town
THIRUMEERMALAI,Unclassified,Town
THIRUVANANTHAPURAM,Unclassified,City
THIRUVARUR,Unclassified,District
THIRUVOTTIYUR,Unclassified,Town
THOOTHUKUDI,Unclassified,District
THORAIPAKKAM,Unclassified,Town
THRISSUR,Unclassified,City
TIKAMGARH,Unclassified,District
TILIJA,Unclassified,Town
TIMMAPUR,Unclassified,Village
TINSUKIA,Unclassified,Town
TIPTUR,Unclassified,Town
TIRODA,Unclassified,Town
TIRUCHIRAPPALLI,Unclassified,City
TIRULDIH,Unclassified,Town
TIRUNELVELI,Unclassified,District
TIRUPATI,Unclassified,City
TIRUPPUR,Unclassified,District
TIRUVALLUR,Unclassified,Town
TIRUVANNAMALAI,Unclassified,District
TIRUVARUR,Unclassified,Town
TIRUVOTTIYUR,Unclassified,Town
TITAGARH,Unclassified,Town
TOANSA,Unclassified,Town
TONK,Unclassified,District
TOOPRAN,Unclassified,Town
TORANAGALLU,Unclassified,Village
TRICHI,Unclassified,Town
TRICHUR,Unclassified,City
TRICHY,Unclassified,City
TRIMBAK,Unclassified,Town
TRIMBAKESHWAR,Unclassified,Town
TRIPRAYAR,Unclassified,Town
TROMBAY,Unclassified,Town
TUENSANG,Unclassified,District
TUGHLAKABAD,Unclassified,Town
TUKUMR,Unclassified,Town
TUMAKURU,Unclassified,District
TUMKUNTA,Unclassified,Village
TUMKUR,Unclassified,City
TUTICORIN,Unclassified,City
UDAIPUR,Unclassified,City
UDAIPURA,Unclassified,City
UDALGURI,Unclassified,District
UDHAGAMANDALAM,Unclassified,Town
UDHAM SINGH NAGAR,Unclassified,District
UDHAMPUR,Unclassified,City
UDUMALPET,Unclassified,Town
UDUPI,Unclassified,District
UJJAIN,Unclassified,City
UKRAULI,Unclassified,City
UKWA,Unclassified,Village
UMARSAR,Unclassified,Village
UMBERGAON,Unclassified,Town
UMRETH,Unclassified,Town
UNA,Unclassified,District
UNAKOTI,Unclassified,District
UNNAO,Unclassified,District
UPPER MAMRING,Unclassified,Town
UPPERSIANG,Unclassified,Town
URAPAKKAM,Unclassified,Town
URAWADE,Unclassified,Village
URNI,Unclassified,Village
USGAON,Unclassified,City
UTTAR KANNADA,Unclassified,Town
UTTARA KANNADA DIST.,Unclassified,District
UTTARAHALLI,Unclassified,Town
UTTARAKHAND (DEHRADUN,Unclassified,Town
UTTARANCHAL,Unclassified,State
UTTARKASHI,Unclassified,District
UTTARPARA,Unclassified,Town
VADALI,Unclassified,Town
VADATHORASALUR,Unclassified,Town
VADODARA,Unclassified,City
VADVALI GAON,Unclassified,Village
VAISHALI,Unclassified,District
VALAPAD,Unclassified,Village
VALLA,Unclassified,Village
VALSAD,Unclassified,District
VANGAON,Unclassified,Town
VANI,Unclassified,Village
VAPI,Unclassified,Town
VARANASI,Unclassified,City
VARDHA,Unclassified,City
VASAI,Unclassified,Town
VASANT VIHAR,Unclassified,Town
VASHI,Unclassified,Town
VASHI GAON,Unclassified,Town
VASIND,Unclassified,Town
VASUDEVANALLUR,Unclassified,Village
VASUNDHARA,Unclassified,Town
VATVA,Unclassified,Town
VAZHAKULAM,Unclassified,Village
VAZHOOR,Unclassified,Village
VEERAPURAM,Unclassified,Village
VELACHERY,Unclassified,Town
VELLIVOYALCHAVADI,Unclassified,Town
VELLORE,Unclassified,District
VENKATAGIRI,Unclassified,Town
VERAVAL,Unclassified,City
VIDARBHA,Unclassified,Town
VIDISHA,Unclassified,District
VIDYA NAGAR,Unclassified,Town
VIJAYANAGAR,Unclassified,Town
VIJAYANAGARAM,Unclassified,City
VIJAYAPURA,Unclassified,District
VIJAYAWADA,Unclassified,City
VIJAYNAGAR,Unclassified,Town
VIJAYWADA,Unclassified,Town
VIKAS PURI,Unclassified,Town
VIKHROLI,Unclassified,Town
VIKRAMGAD,Unclassified,Village
VILAPPILSALA,Unclassified,Village
VILE PARLE,Unclassified,Town
VILLAGE TIZIT MON,Unclassified,Village
VILUPPURAM,Unclassified,District
VINUKONDA,Unclassified,Town
VIP NAGAR,Unclassified,Village
VIRAR,Unclassified,District
VIRUDHUNAGAR,Unclassified,District
VISAKHAPATNAM,Unclassified,City
VISHNU NAGAR,Unclassified,Village
VISHNUPRAYAG,Unclassified,Village
VIZIANAGARAM,Unclassified,City
VRINDAVAN,Unclassified,Town
VUYYURU,Unclassified,Town
VYARA,Unclassified,Town
VYPIN,Unclassified,Town
WADA,Unclassified,Town
WADGAONPEER,Unclassified,Village
WALUJ,Unclassified,Town
WARANGAL,Unclassified,City
WARDHA,Unclassified,District
WARORA,Unclassified,Town
WARTHI,Unclassified,Town
WARUDE,Unclassified,Town
WASHIM,Unclassified,District
WAYANAD,Unclassified,District
WEST BOKARO,Unclassified,Town
WEST DELHI,Unclassified,City
WEST GODAVARI,Unclassified,District
WEST GODAVERI,Unclassified,Town
WEST KHASI HILLS,Unclassified,District
WEST MEDINIPUR,Unclassified,Town
WEST SIANG,Unclassified,District
WEST SINGHBHUM,Unclassified,District
WHITEFIELD,Unclassified,Town
WORLI,Unclassified,Town
YADGIRI,Unclassified,Town
YALAHANKA,Unclassified,Village
YAMUNA NAGAR,Unclassified,Town
YANAM,Unclassified,Town
YAVATMAL,Unclassified,District
YERAWADA,Unclassified,Town
YEVATMAL,Unclassified,Town
ZAHEERABAD,Unclassified,Town
ZIRAKPUR,Unclassified,Town
ZUARINAGAR,Unclassified,Town
